reviewer_name,review_time,star_rating,headline,review_content,experience_time
Diana Mitchell,2021-03-11T01:47:46.000Z,Rated 1 out of 5 stars,walmart sells the following products Dairy Pure and TruMoo from Dick Van Dam Dairy.,"walmart sells the following products Dairy Pure and TruMoo from Dick Van Dam Dairy. Base on the article from Animal legal defense fund in their magazine title The Animals' Advocate Winter 2021, which describes the following cruelties: Cows were documented being hit, kicked, and jabbed with metal pipes and splintered wooden canes. ","March 11, 2021"
Sandy Nicole Gilbert,Not found,Rated 1 out of 5 stars,Ordered 2 hello kitty cups and arrived damaged,"Ordered 2 hello kitty cups and arrived cracked and leaky. Put in a replacement , same thing ( second time ). Scared to try for the third time so had to request a refund . NOTE : THEY DID NOT (BOTH SHIPMENTS ) USE BUBBLE WRAP, NOR PUT BUBBLE BAGS TO HOLD CUPS IN PLACE .SO I ASK walmart.COM, DO YOU NOT BELIEVE IN BUBBLEWRAP OR ANYTHING ?  I know now to start going to store because online they don’t believe in bubble wrapping . I mean when I bought the bedding set of hk they bubble wrapped it but can’t bubble wrap cups (that’s a shame ).","March 10, 2021"
Diane Kovatch,2021-03-10T03:05:36.000Z,Rated 3 out of 5 stars,I'm so disappointed with walmart,I'm so disappointed with walmart. I ordered a gift for my granddaughter which included a special note for her.,"March 10, 2021"
Bette Butterfield-Lopez,2021-03-09T18:53:26.000Z,Rated 1 out of 5 stars,DO NOT BUY GIFTCARDS FROM THIS STORE,DO NOT BUY GIFTCARDS FROM THIS STORE!  I purchased a Chipotle and Taco Bell giftcard and they were supposedly activated but they did not work!  I took them back to the store and they said they couldn't do anything about it to call the numbers on the back of the cards.  I did.  They couldn't help me.  I called walmart customer service.  They couldn't help me.  Then they referred me to another customer service number and they couldn't help me!!!!!!!!!!!!!!!!!!!,"March 09, 2021"
Rachel,2021-03-08T19:59:50.000Z,Rated 1 out of 5 stars,The walmart app is very difficult to…,"The walmart app is very difficult to use. I recently created a baby registry, which came with an instore coupon. I chose the instore pickup option but was told after I spent the time placing the order that the coupon doesn't work for pickup. The customer service rep was no help and refused to try and make the experience better.","March 08, 2021"
sad customer,2021-03-08T16:26:43.000Z,Rated 1 out of 5 stars,Do not puchase a TV online,"Do not puchase a TV online. Terrible customer service. TV screen went out 6 days after 30 day return policy. My receipt online dissappeared and they can only provide me with manufactures phone number. Buy from Walmart instead, much better service!","March 08, 2021"
Clothe Your Soul In Beauty,2021-03-07T01:05:07.000Z,Rated 1 out of 5 stars,Worst customer service,Worst customer service. You can not get a person on the phone without them putting you through h*ll.,"March 07, 2021"
Sherri Rocha,2021-03-06T22:34:10.000Z,Rated 1 out of 5 stars,"My credit limit of 2,000 dollars was…","My credit limit of 2,000 dollars was lowered in Aug 2020 to 1,000 we had a payment scheduled and it was twice the amount of the regular payment I posted it before midnight which was on the same day it was due I got my next statement and because it eastern time it went to the next day because they are 2 hrs ahead! So I called and the rep told me to look at my statement and it says by 8:00 pm well that made it late and the rep did take off the late fee bless her heart! But because it was 1 day late they lowered my payment to 1,000 and now I get my February statement it was due by the 23 of February I paid off 585.00 and it posted the 3rd of of march mind you I paid off half of the balance and they lowered my payment to now 600.00 I am so mad I will pay the this walmart card leave my card open but I’ll never shop again in any walmart store their return policy is also unbelievable too! Mad as help in Montana poo poo on walmart","March 06, 2021"
Disappointed,2021-03-05T13:23:14.000Z,Rated 1 out of 5 stars,I am dissatisfied with my application…,I am dissatisfied with my application process had to find out through the website that I wasn't considered for a job instead of someone contacting me as much as myself and my friends and family members spend here I never step one foot back there I will direct everyone I know to Costco where you are treated like someone,"March 05, 2021"
DaGoods,2021-03-04T21:40:42.000Z,Rated 1 out of 5 stars,Hates actual human customers and has…,Hates actual human customers and has done nothing to stop bots from buying all the PS5 stock.,"March 04, 2021"
Sherry Jakubowski,2021-03-04T18:16:07.000Z,Rated 2 out of 5 stars,Buy more American made clothes.,I like walmart. But I would love walmart if they bought more clothes that were made in America. I am average size and my long sleeve shirts always come up short. Plus I miss the quality that came with a shirt made in America. I do not mind paying more for something that is going to last.,"March 04, 2021"
Schubert Jacques,2021-03-04T00:23:14.000Z,Rated 1 out of 5 stars,"We were robbed 4,000.00 through the…","We were robbed 4,000.00 through the walmart gift cards set up. Apparently someone from the store is stimulating gift cards sales and immediately cash them through the store. Despite numerous attempts walmart refuse to cooperate into investigating the issues under the disguise of consumer confidentiality. Which led me to believe that it’s an inside job. BEWARE OF walmart GIFT CARDS SCAMS","March 04, 2021"
Robert L Tolton Jr,2021-03-02T21:50:11.000Z,Rated 1 out of 5 stars,"We ordered a 75"" television on 02/08…","We ordered a 75"" television on 02/08 which was delivered with huge hole in the center of the box that went straight to the television and dented the back of the TV.  Called immediately to return the television.  The shipping company picked up the TV on 02/18.  walmart didn't ship the replacement until 02/25.  The shipping company, EFW, has had our TV ever since.  According to walmart, our television should be delivered on 03/08.  According to EFW, they don't know when the TV will be delivered.","March 02, 2021"
Suzanne Dean,2021-03-02T16:04:25.000Z,Rated 1 out of 5 stars,The walmart staff had difficulty doing their base jobs,"The walmart staff had difficulty processing my order and basically couldn’t find $130 worth of products that I paid for but didn’t receive. I then had to wait an hour and a half for the first manager to figure it out. She resolved some of the issues, but not all of it. Then the second manager was called and was also on break and din’t come out for another hour. I was in line for  over three hours and they still didn’t resolve everything. Later, I was making returns and retelling the earlier events to my friend on the phone. I was getting angry and raising my phone. I attracted the attention of the two security staff. They started to tell me to calm down and say that I was disturbing the peace and acting irrationally. I told them to back off and leave me alone and that I’m just talking to my friend and that they need to leave me alone or I’m going to get even more loud and upset.  ","March 02, 2021"
Brian E,2021-03-01T20:12:41.000Z,Rated 4 out of 5 stars,Their website was pretty easy to use…,Their website was pretty easy to use and it allows me to set up a notification once the CPU i need comes back in stock.,"March 01, 2021"
JC ,2021-02-28T04:44:25.000Z,Rated 1 out of 5 stars,Worse company in the world,Worse company in the world. Truly garbage!!!,"February 28, 2021"
Just Lily,2021-02-28T00:12:41.000Z,Rated 1 out of 5 stars,The walmart gossip girls,My grandma me and my two cousins are we’re headed to the mall for our coming mall trip we were going to get a stroller here at walmart for my one-year-old baby cousin so we get there to check it out and pay. we ask for scissors because we don’t have any in our car. We ask if they have any scissors and they just say no we don’t she was very kind though. She says we could go up to customer service and they could cut it off for us right away. We go to customer service and the three girls are gossiping about they’re just secretly like whispering and like laughing and we ask if they have any scissors so we could cut our stroller apart so we could use it for my baby cousin. They rudely rudely replied with an answer of do you have a receipt? My grandma was livid at that point and said that that’s insulting and we walked away.Then they just continued with their Gossip. When there’s millions of cash registers that they could open and help people because there’s a big line. We get out to the car and we start using nail clippers to cut open our stroller i’m 12 and I got injured and cut myself twice trying to open the stroller. Thank goodness I had caffeine before having to go through such rudeness and inpolite respect. We got to the mall though and we had a great time.,"February 28, 2021"
Jot,2021-02-25T12:36:23.000Z,Rated 5 out of 5 stars,walmart is so PC and polite,"walmart is so PC and polite, it's sometimes sad, ha ha ha. But I love them for that, and more. I've never had a sour experience with walmart online, only with in-store this one time when they lost the online pickup order I made (but I got $5 credit from the online customer service). Note, I've never bought anything that wasn't sold directly by walmart (so far). With return policies, always check the receipts, and for online orders, it will actually tell you hold long you have to return something if you click on the return options, I recommend always referring to that if you're uncertain about keeping a purchase or making a return. I'm gonna focus on online ordering for the most part. So far, walmart has not ever had to cancel an order for me without a consequence on them. I've had orders delayed and I would need to approve of the new date, but only once has an order mysteriously canceled, and when it did, I  contacted customer service via chat and I got $10 off a new order because I could not remake the order due to the item being out of stock/no longer sold at walmart. walmart's online chat is super quick now, I know before there was a slight wait, but I'm always first in line now. The chat rep is usually helpful, but sometimes I have to wrestle an answer out or transfer to a couple people to get something done, so I'm sorry walmart, but I gotta be persistent. walmart also has a call center, which I occasionally use, and they're also helpful, but I like typing more, so I'm thankful for the chat option. I used to work in store at walmart, and while it wasn't the best experience as a worker, I did appreciate how far the company goes to really please customers. walmart does price matching with most retailers, the online sales are great, there's the redcard which gives you free shipping on most things and a slight discount. Note, my redcard is connected to my debit, like a proxy, so I don't have experience with the credit card-red card, but my sister does, and she's had no issue with paying it and all. walmart lets you cancel order with ease, all orders shipped are tracked, they will reship stolen orders, get replacements processed, give you store credit if an order is late sometimes, they have online ordering for curbside/in-store pick up, the list just goes on. They really nailed a lot of conveniences for us shoppers, so I do feel spoiled. For online orders, I almost exclusively shop walmart when both walmart and Walmart carry the same item, because I could possibly price-match Walmart (assuming it's sold and shipped by Walmart) and I get my redcard benefits, and returns are super easy and guilt-free at walmart (plus the online receipt is in your account so you won't lose it unless you lose your password or something; Walmart in store returns for online orders is a little more convenient in that they let you return absolutely anything sold on walmart.com, even 3rd party sellers, but I believe Walmart limits their return counter hours, as opposed to walmart where you can return all day long in-store). If you have a question, you can ask away with the chat before buying so you don't get into any sort of mess, you know? The only cons I see are the smaller selection compared to Walmart (but I mean, Walmart is a giant), but walmart does carry a lot of things already, you'd be surprised. I hope walmart continues to thrive and do okay, because it's kind of a bloodstream for some of us in terms of shopping for necessities, and the company really tries to get a decent score for customer satisfaction to the point of spoiling us. It's kind of sad how much hate here and there walmart gets for the amount of effort they put in for your affection.","February 25, 2021"
Benny Hill,2021-02-22T22:23:31.000Z,Rated 1 out of 5 stars,We need to stand up to these people?!!,Trying to shop any place but Walmart.,"February 22, 2021"
Mike,2021-02-22T21:01:22.000Z,Rated 1 out of 5 stars,A company with no heart,"I paid my walmart Bill in full on 2/4 apparently my billing date is 2/7 and they did not record payment till 2/8. I  now have a late fee plus interest charge of $33.84. called the customer service phone # and spoke first with a William and then a supervisor Pilar who kept trrowing back at me the account is in my wife's name and she has to make the request. My wife is currently in the hospital and I really have more important things to handle then calling about a late charge. Completely insensitive to this, i am her husband and all I wanted was for someone to understand my situation and just remove the late charge. Unfortunately, that is not what happened they actually told me she can handle this when she gets out of the hospital - you would think that a company would look to help a customer who has much bigger issues then this, but you would be wrong. Bottom line here is - make sure whatever you need fits into their box of pat answers or you like me will be disappointed in the results, It goes without saying I cancelled my Red Card.","February 22, 2021"
Barbara ,2021-02-22T05:28:51.000Z,Rated 1 out of 5 stars,My order has been cancelled three times…,"My order has been cancelled three times for no other reason than they won't ship to forwarders like myus.com..well keep your stuff then, I'll shop at Walmart","February 22, 2021"
pat omalley,Not found,Rated 5 out of 5 stars,I'm loving walmart all of a sudden,I'm loving walmart all of a sudden.  ,"February 22, 2021"
Karen,2021-02-21T18:27:13.000Z,Rated 1 out of 5 stars,Been a customer for 21 years,"Been a customer for 21 years, zero balance on my walmart red card, they first cut my credit limit by 10 k a few months ago.  Today I got on walmart.com to order an office chair and my credit card would not work.  They closed my account!  You get penalized for not using your card.  They said I would have to reapply to get a card again.  That's not happening!  Good bye walmart!","February 21, 2021"
Lisa Pugh,Not found,Rated 1 out of 5 stars,I order a trampoline on walmart.com I…,"I order a trampoline on walmart.com I was sent the item that was shipped from their partner store which is VM express. My granddaughter opened it the day after Christmas. The first thing I noticed was the hook to put the bungee cords on was bent up so badly. I then take all the poles out to attach them and noticed they are bent and scratched up, it doesn't sit evenly on the floor. I contact walmart and got nothing but the run around given multiple numbers to call, one rude person after another. Finally I get someone who say I need to pack it back up print of a return label and send it back. I informed them that upon delivery, the box was wet, dirty, full of holes etc. They said I need to go purchase a box pack it and ship. I then was told I had to pay for the shipping and that was the best they could do. I filed a complaint with the BBB. They responded with I know its not the answer she was looking for but its the best we can do and they hope I enjoy the trampoline, sarcasm at its finest. Fast forword two weeks I tried to order some household items online it went through but shortly after that I received an email saying we are sorry you we had to cancel your order. I called and find out I am blocked from ordering through walmarts online company. They are the ones that are selling damaged used and returned items. 118.00 down the drain.","February 21, 2021"
Wendy,2021-02-20T22:51:04.000Z,Rated 1 out of 5 stars,I felt like I was at Walmart today,"I felt like I was at Walmart today. Not enough registers open, seven people in line and maybe three registers even open. Would rather shop at Walmart to experience this kind of customer service with lower prices.   We spend $350 a couple of times a month and will be taking my money elsewhere.","February 20, 2021"
Florencia Sapkovski,2021-02-20T16:31:06.000Z,Rated 3 out of 5 stars,Not enough registers open,"I’m a big walmart shopper, for me is super convenient to shop for groceries, cleaning supplies and more, but there is an inconvenience at the checkout since there are not many registers open and customers are force to use the self checkout. It looks that the walmart strategy is focused on individual small purchases.","February 20, 2021"
lisa key,2021-02-19T23:19:38.000Z,Rated 5 out of 5 stars,Kudos to walmart for extra measures…,Kudos to walmart for extra measures they’ve taken to keep customers safe during the pandemic. It is very much appreciated. Special thanks to Genesis at the Mansfield TX store for going above and beyond to help me find 2 items just before the snow storm and for walking me through the savings options in the app. What a kind person and great employee she is. Give that girl a raise!,"February 19, 2021"
Marie-Pierrette Faustin,Not found,Rated 1 out of 5 stars,Ordered eight items on 1/24,Ordered eight items on 1/24. I received three items on three different occasions. I received notice the remaining five items were shipped on 2/1. After calling two weeks in a row I am told my items are at UPS and delivery was delayed due to the weather. When I stated to them UPS trucks go up and down my street all day everyday they took offense and offered a refund in one to three business days. PLEASE DO NOT ORDER ON LINE.,"February 19, 2021"
Sonny Hammoud,2021-02-19T22:24:22.000Z,Rated 5 out of 5 stars,A great store for retail by Sonny Hammoud,"A great store for retail. I like the categories they have for video games, electronics, toys, clothes, and the food court they have with a Starbucks next to it.","February 19, 2021"
Michael Knott,2021-02-19T09:31:56.000Z,Rated 1 out of 5 stars,"Won't ship, stick with Amazon!","I ordered some items a week ago on 2/12.  It was due to arrive the 22nd.  Then I got emails 4 consecutive days saying the order was being delayed to the 23rd, 24th, 25th, and now 26th (I'm assuming I'll get another email tomorrow saying 27th).  I understand weather is a factor in transit but these haven't even been boxed, given a tracking number, and put on a truck yet.  I called to cancel the order but they're preparing to ship them and can't cancel it, even though the status has been preparing shipment for 7 days.  Stick to Amazon.","February 19, 2021"
Christine Peek,2021-02-18T14:57:12.000Z,Rated 4 out of 5 stars,Shipping stinks,"walmart is a great place to shop with an exceptional return policy and stellar employees.  5-star establishment.  Had to rate 4 stars because of their shipping.  I noticed this shortly after obtaining a RedCard, long before COVID (so it's not the excuse for everything!), but seems like it's getting worse.  Why on earth do you offer free 2-day shipping an option?!  Nothing arrives in 2 days - more like 5-7 or even longer?  It would take me less time to drive to a different store on the other side of town than to wait so long for items that are promised 2-day shipping when the order is placed.  And please don't tell me that walmart and walmart.com are 2 different businesses.  🙄","February 18, 2021"
Starfish,2021-02-17T16:14:53.000Z,Rated 1 out of 5 stars,Horrible company rude people tell you…,Horrible company rude people tell you nothing but lies..online is a joke gotta be one of the worse places ever..what ever happen to stores who gave a damn about thier customers and had some pride...filthy disgusting company,"February 17, 2021"
Lee Lethers,2021-02-17T13:07:54.000Z,Rated 1 out of 5 stars,Web experience very bad. Don’t use!!!!,Web experience very bad. Website needs work and customer service is all bots or dodge questions like they’re hiding something.,"February 17, 2021"
Kim Vitellaro-Rendler,2021-02-16T19:42:34.000Z,Rated 5 out of 5 stars,I was at walmart last night and…,"I was at walmart last night and accidently scanned a walmart Mastercard for $100.00.  Sadly I did not want this card (I was supposed to scan a regular walmart gift card for the $5.00 thing).  Anyway, Megan came over to help and though she told me there was no refunds on gift cards (I had finished the transaction -), she brought me over to customer service and called the manager, Quanum.  Both were super wonderful, fantastic, and terrific.  They treated me quite respectfully, and in the end resolved my issue.  I'm not a big shopper, but I will tell you now, with service like that, if I need anything my walmart carries, I will be visiting that store.  Extremely courteous, really nice and took care of me.  Made me feel good to see such fine customer service.  Keep it up guys and gals!","February 16, 2021"
Mm,2021-02-15T18:32:06.000Z,Rated 1 out of 5 stars,Online ordering and same day delivery…,"Online ordering and same day delivery is a joke. Sucker you out of a phone number, delivery address and email for your ""account"" only to find out that junk that you don't need is eligible for same day delivery. Most eveyday items isn't. Site is too difficult to use. First and last time shopping at walmart. Should have read reviews first.","February 15, 2021"
Xiana,2021-02-15T10:01:34.000Z,Rated 1 out of 5 stars,walmart Carts Damaged My Car,"walmart Carts Damaged My Car, Their Cameras are always damaged or down.  I had to spend $500 on a deductible to get my car repaired just wanted to go to get a few things came out with car damage.  They do not have enough people recovering carts.  I am a single mom and that was an unexpected expense.","February 15, 2021"
Dianna Hankel,2021-02-15T06:27:08.000Z,Rated 1 out of 5 stars,Poor Management.,"Today we were in our community walmart store with discouragement. Our cashier was very frustrated due to a non working cash register. This has been going on all morning with her. We felt bad for her so I went to customer service and asked for a manager. A young lady came up, she was not a manager but she would listen to me. I told her that management needed to work with their employees to make sure all equipment worked before they tried to help others. In the mean time another cashier helped us check out with the same problems the other lady was having. I even got more frustrated when the lady who listened to me went up to the first cashier and was telling her that we were upset with her. This was so far from the truth. I literally went off on her and told her she should have taken this information to a manager and not to the employee. I hope that walmart can start treating their employees fair and make sure they have what is needed to be successful.","February 15, 2021"
B ander,2021-02-14T23:43:21.000Z,Rated 3 out of 5 stars,I went to buy qtips but there was only…,I went to buy qtips but there was only a 340 pack and 500 and 650 and I was looking for a 420 pack I would like if you guys could start carrying a 420 pack and maybe a 69 travel pack.,"February 14, 2021"
FrostiiWafflez,2021-02-14T03:42:44.000Z,Rated 1 out of 5 stars,Worst Exchange/Return Rule Ever,"I bought something in store for my sons birthday on August 10th, 2020. I got a 1 year warranty for an Xbox controller and gave him the controller on the 15th. Fast forward to November 4th, he wanted to exchange the controller for a new one because something was wrong with it. They said they couldn’t exchange it at the time. So I waited sometime because they told me to come back in a few months. Came back on February 13th, 2021 to try again and now they said they they couldn’t and I had to go online?! Online for something I bought in store! Are you kidding me? I have to go through a long process just to get a new controller.","February 14, 2021"
Basil,2021-02-12T20:11:35.000Z,Rated 1 out of 5 stars,walmart donates to liberal radical groups!,"walmart wont be getting any more of my money!  They have succumbed to liberal radical pressure and donated to the Marxist Hate Group Black lives matter and permitted transgender people to use the bathroomof their choice.  My kids wont be going there anymore either!  They also donated about $200,000 to the Biden campaign.  Bye Bye!","February 12, 2021"
Evie Quinn,2021-02-09T17:55:02.000Z,Rated 5 out of 5 stars,I had the most wonderful experience at…,"I had the most wonderful experience at walmart.  The customer service was excellent.  This young lady went above and beyond to assist me with my purchase.  She left her task to assit me with a list that was given to tme.  Wow!, she helped me pick out everything.  I am forever in awe with the people that work at this company.  Thank you!","February 09, 2021"
Brittney Smallwood,2021-02-09T12:52:42.000Z,Rated 5 out of 5 stars,I love walmart,walmart has The best clearance and health and beauty section ever!!!,"February 09, 2021"
Abdullah Derosier,2021-02-08T21:49:07.000Z,Rated 1 out of 5 stars,ABSOLUTE GARBAGE,"ABSOLUTE GARBAGE, I ordered from their online store and they said it would get to me in two days, here I am  two weeks later still with no package. walmart has this thing where they start with UPS shipping then for the dumbest reason possible UPS transfers your package to the United State Postal Service as if UPS couldn't deliver to my door. On top of that either UPS or USPS lied in my tracking information saying they came to my door in an attempt to deliver my package on two separate occasions when they never did. I have a ring doorbell and I work from with my office having a clear view of the front door and they NEVER stepped foot in my yard at all. WORST delivery service ever. Now, I will for sure be ordering all my things from AMAZON and I  will let walmart delivery burn to the ground. ","February 08, 2021"
Brandon McGowan,2021-02-08T06:35:35.000Z,Rated 2 out of 5 stars,Great customer service, ,Not found
robert schwarz,2021-02-07T02:13:28.000Z,Rated 5 out of 5 stars,Great service by Alex,I’ve been shopping walmart for about 5 yrs and love the store. Clean and organized with great products.,"February 07, 2021"
Michael Joseph,2021-02-06T14:45:33.000Z,Rated 2 out of 5 stars,Do not order online!,This store does not allow for mail returns of all items purchased online. I recently purchased an item online that must be returned to the store. I do not recommend this company for online orders. Other online retailers make returns easy.,"February 06, 2021"
Amy Delashmitt,2021-02-04T21:49:25.000Z,Rated 1 out of 5 stars,Purchased 2 items,"Purchased 2 items , upon checking out cashier said his computer couldn’t print a receipt after I’d already paid, he went to another register and rerang my items and told me to swipe my card again . I asked if I’d b double charged and he said no. I WAS double charged and now they’re offering me a gift card instead of refunding my money. Absolutely ridiculous . Also was told at the store they couldn’t do anything to call the 1800#.","February 04, 2021"
Carmine,2021-02-04T16:07:22.000Z,Rated 5 out of 5 stars,We ditched Amazon, ,Not found
Sandy Hoffman,2021-02-04T15:52:15.000Z,Rated 4 out of 5 stars,I don't have any complaint service,I don't have any complaint service. Always fast and friendly,"February 04, 2021"
Lmarsan,2021-02-04T05:56:41.000Z,Rated 1 out of 5 stars,walmart has the worst customer service I…,"walmart has the worst customer service I have ever experienced.  My husband and I had our financial information stolen.  In the change over of our financials I was unable to get to my red card before the payment was taken out of the acct.  As a result the payment was returned because our bank account had been closed.  walmart turned off my card due to the returned payment.  I completely understood, called back to remedy the situation and pay my balance in full.  I then immediately went to update the information.  Unfortunately, I had an error in the numbers I entered and the draft didn’t go through a second time.  I corrected all of the errors within days and paid my balance to zero. The second time I called, however they stated that my account is permanently closed and they will not reinstate it.  I asked to speak with a supervisor who told me I could write a letter requesting that walmart reinstate the credit card since I had a good history up until these incidents and have been a red card holder since 2006. I wrote a letter with dates and proof and offered to have our bank issue a letter to them as proof of our financials being stolen.  I then waited a few weeks for their response.  They finally sent a generic letter back saying they rejected the charges I was “disputing.” This letter clearly shows they never looked into my account because if they had, the letter would have referenced they rejected my request to reinstate my red card not charges to my card.  My card has a zero balance so there aren’t charges up for dispute because I have paid them off.  When I called a second time the new supervisor said she didn’t know who I talked to but that they don’t accept these type of letter requests.  So they lied to me the first time I called and were not understanding in any way that these were difficult and unintentional circumstances.  She also stated that if two payments are rejected within a 6 month period of time that their policy is to cancel the account.  This information was not given by the first manager. I had even asked him what their policy is on returned payments specifically.  Instead he gave me false hope and she was rude and unhelpful.   I am very very disappointed.","February 04, 2021"
duck bicycle,Not found,Rated 5 out of 5 stars,Fast shipping,I always buy my dry goods from this site with no issues. Things are shipped fast (2 day delivery),"February 03, 2021"
Stephen Herrold,2021-02-03T17:15:38.000Z,Rated 4 out of 5 stars,I like ordering online from…,I like ordering online from walmart..They always have what I need!,"February 03, 2021"
girodt,2021-02-03T14:03:44.000Z,Rated 1 out of 5 stars,To heaven leigh. Find a new happy place.,To heaven leigh.   Well seems you have not encounter a ralfson who works at a walmart in Aurora Colorado. To be preside on Gartel.     He is a no people person. Once you meet him. You will have to find a new happy place.  HE STINKS,"February 03, 2021"
Trixie,2021-02-02T10:08:01.000Z,Rated 1 out of 5 stars,Ticked off to say the least,"Placed an order. One item due to be delivered on the 3rd was delayed til the 8th. Needed the item sooner. Decided to cancel the item as soon as I saw notification (2 days before the third- 8 days before delayed shipping date). System said it would try. Then sent me an email saying no, then updated status to preparing. THEN I find out that this item for hair moisturizer is non-returnable. I will never order walmart shipping again. I’ve been ordering from Amazon for 7 years and never had an issue that they couldn’t fix.","February 02, 2021"
Steve Scott,2021-02-02T06:34:31.000Z,Rated 3 out of 5 stars,When I need something quick or just to…,When I need something quick or just to browse and shop ideas are endless at walmart…,"February 02, 2021"
Megan Elizabeth,2021-02-02T03:19:38.000Z,Rated 4 out of 5 stars,I recently purchased a bookshelf from…,"I recently purchased a bookshelf from walmart- a standard white cube shelf for my home gym. While the piece itself is not standout, I have to say their customer service was excellent. The shelf arrived damaged and when I reached out to customer service, they were friendly, helpful, and quickly helped me place a replacement order free of cost to me. The shelf arriving damaged was outside of their control, but what was in their control was handled really well. Thank you, walmart!","February 02, 2021"
Stan,2021-01-31T00:51:16.000Z,Rated 1 out of 5 stars,2 attempts for a product and both…,2 attempts for a product and both wrong. To me very simple order   So won’t try again.,"January 31, 2021"
daryL2 carol,2021-01-30T16:09:43.000Z,Rated 2 out of 5 stars,Ordering issues,"Obviously many problems since the covid and shutdown. If that's even a valid excuse anymore. I recently ordered a down comforter online because screw trying to find one in any store. I had checked off contact me by email AND text. That was 5 days ago. No text updates. Checked my e-mail today to see a 'reminder"" that I had not picked up my order, and they were canceling 😡  obviously they're asleep the wheel  😠","January 30, 2021"
Heaven Leigh,2021-01-30T15:16:58.000Z,Rated 5 out of 5 stars,walmart is my happy place and the first…,walmart is my happy place and the first place I want to go to when I'm kid-free or just in general. They always have cuter stuff than Walmart does...especially for holidays and kid's clothes. My daughter is also obsessed with LOL dolls and walmart offers a much wider selection that isn't picked over like it is with the other stores.,"January 30, 2021"
Kelly Gilbert,2021-01-30T15:16:04.000Z,Rated 1 out of 5 stars,Poor management,"Why is it that you can have a sales associate stand at the entrance to make sure customers are wearing masks.  ( basically a mask check as soon as you walk-in the store , followed by an aggressive attitude if you are not wearing it “properly “ ), yet you do not have any sales associates to run the fitting rooms and make sure they are clean? Most if not all other clothing stores have fitting rooms open by now. I understand not having them open at first, but now when other stores do I feel it’s just laziness. Why can you not switch the person being the mask police and utilize them to work the fitting rooms? Customers should not be greeted by an angry mask sales associates  when they walk in the store.   Also if it’s not necessary to wipe down the shopping carts, something that multi customers touch many times throughout the day, Yet it’s unsafe to have to clean dressing rooms, something that not every customer utilizes?  By now everyone knows the mask orders, and do not need to be reminded. Simple as this if customers are in the store without them ask them to leave. On top of this what good does it make sure they are wearing them when they come in? Are you going to follow each customer around the store to make sure they are wearing them?  Very poor management.","January 30, 2021"
j,2021-01-30T05:47:26.000Z,Rated 5 out of 5 stars,This is to say walmart in Peoria…,This is to say walmart in Peoria Illinois has done a fantastic job in keeping their customers and staff safe during the pandemic. Ever since the COVID has become a pandemic this walmart has always had someone cleaning the carts and being sure customers and staff wear masks. Thank you so much!!!!,"January 30, 2021"
George T,2021-01-29T23:44:00.000Z,Rated 5 out of 5 stars,Better than Amazon,All of my orders have been processed fast. Free shipping is great. You can tell they are really trying to be customer service oriented. I had a couple items that were broken during shipping. The problem was resolved easily and quickly. Side note: The new Good and Gather brand is very good quality.,"January 29, 2021"
Megan Williams,2021-01-29T22:44:58.000Z,Rated 1 out of 5 stars,Way over priced,"Way over priced, not well stocked, rude cashier's. $22 for one boxer short. walmart in Pensacola. Rude un stocked, over priced no clearance. One cashier did not even know how to take the cover off a disk sad","January 29, 2021"
JustAnswer Customer,2021-01-29T04:59:03.000Z,Rated 1 out of 5 stars,Our Kitchenaid they sent us was USED AND DIRTY!,"My daughter had a family member buy her a Kitchenaid mixer.  It was supposed to get here last week.  Then they said it would be here by the Monday that just passed.  Today, (Thursday), at least a week later than promised, it finally arrived.  This is a first time I have ever seen what came out of the box!   A USED AND DIRTY MIXER, not packed properly and missing the attachments, including the main beater attachment!   This is disgusting. They paid good money for this!!!!!  It had oily stuff and fingerprints down the outside of the bowl.   How can this happen???    Watch your orders in future😡","January 29, 2021"
Rodolfo Natividad,2021-01-29T00:47:03.000Z,Rated 1 out of 5 stars,Worst online shipping experience,"I purchased 5 different items online. Initially prompted me that items I'm purchasing are available for same day delivery. Boy was I wrong to order from walmart. At check out it turned out that its only available for 2-days. That 2 days became  7 days, then 10 days. I get delayed shipment emails every day. Now my order are being delivered one item per day, such a waste.  One of the items is 3 orders of a hand soup, which came in 3 different shipment almost 2 weeks after walmart's delivery claim of same day delivery. walmart online ordering is at least a decade behind today's norm.","January 29, 2021"
Heidi Davis,2021-01-28T17:06:26.000Z,Rated 1 out of 5 stars,I was just at the walmart in Huber…,"I was just at the walmart in Huber Heights Ohio, and I was waiting at the customer service counter. There was one person in front of me be invited, after she left the employee said Erica will take care of you because I have to go outside. As she’s leaving she asked Erica can you help here, Erica replies I’m pulling orders to. Doesn’t matter to anybody that I’m standing there, no. I continue to stand and wait I even tried calling walmart to see when somebody might come help me, but they don’t answer the phone either. Few more people comeAnd now the girl who left while I’m standing there she comes back in and proceeds to wait on me. Then another people come to help the other people in line, oh as soon as they get a few people in line people show up to help but if you’re standing there by yourself you don’t matter your time is not important. And what really is aggravating about this is the whole reason I was in that line is because I purchased two cases  of cat food and they charged me for 3 . So because of their mistake to begin with, I have to go back into the store and then stand around and wait for anybody to help me. This is the worst customer service imaginable, you can’t blame this on the Covid which everyone tries to do. This is pure lousy service","January 28, 2021"
